Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
20150108,-5.1,2.2,270,45.8,166,54,48
20150109,-2.1,2,270,58.3,141,111,50
20150110,-0.3,2.3,270,56.5,189,66,41
20150111,-0.4,3.6,290,57.8,84,67,49
20150112,-2.7,1.8,270,37.8,60,37,48
20150113,0.2,1.8,50,39.6,125,45,56
20150114,2.5,1.5,20,41.1,207,52,72
20150115,2.8,2.1,270,53.6,170,78,66
20150116,0.8,4,250,73,85,85,82
20150117,-4.1,3.8,270,46,49,59,39
20150118,-1.3,2.3,50,68.4,114,89,36
20150119,-0.1,3.2,270,68.1,69,63,65
20150120,-0.9,1.9,50,55.8,118,58,49
20150121,2.6,2,70,58.3,84,51,60
20150122,3.1,1.5,270,60.6,86,52,47
20150123,1.2,2.6,50,66.4,132,72,44
20150124,3.7,1.8,290,62.9,127,92,55
20150125,3,3.5,70,78.4,81,60,62
20150126,3.6,2.6,270,87.5,140,71,44
20150127,-3.6,3.7,290,55.4,28,44,54
20150128,-4.1,2.3,70,49.3,79,44,48
20150129,-1.1,2.3,70,56.4,67,49,52
20150130,-3.3,3.8,290,51.8,32,53,45
20150131,-4.5,2.6,270,46.4,46,41,46
20150201,-3,1.9,290,44.9,118,49,33
20150202,-0.6,1.5,20,47.3,108,66,48
20150203,0.6,2.1,20,54.5,136,95,62
20150204,0.4,2,270,64.5,44,104,80
20150205,-0.1,3,270,57.1,52,42,90
20150206,0.4,2.2,290,57.3,110,60,57
20150207,1.2,2.6,250,65.3,86,89,50
20150208,-9.8,5.3,290,34.1,39,64,108
20150209,-5.7,3.1,270,54.6,95,60,45
20150210,1.7,2.8,250,69,122,105,96
20150211,2.7,2.5,270,60.3,107,84,89
20150212,-2.2,4.2,270,36.8,60,51,44
20150213,-1.6,3.1,270,46.4,96,52,36
20150214,2,2.2,20,72.9,177,93,58
20150215,7.9,2.9,70,61.6,136,74,76
20150216,5,3.5,70,91.9,112,135,44
20150217,1.9,3.5,290,78.5,67,82,64
20150218,0.8,2.5,270,72,90,56,62
20150219,2.2,1.6,290,67.1,132,58,62
20150220,5.2,2,50,55.3,73,51,53
20150221,5.7,3.4,70,79,169,42,27
20150222,3.5,4.1,270,78,267,308,238
20150223,0.9,3,270,60.4,102,94,590
20150224,2.1,2.3,270,60,149,82,104
20150225,5.4,2.9,50,48.6,110,98,73
20150226,1.2,4.9,270,56.9,61,52,39
20150227,-1.3,3.2,270,35.6,50,44,34
20150228,2.7,2,70,40.5,68,50,46
20150301,2.4,3.7,270,56.8,110,148,93
20150302,3.9,2.8,230,43.5,110,95,88
20150303,2.8,3.4,200,69.5,79,81,54
20150304,-2.1,5.3,270,43.4,54,52,48
20150305,-0.3,1.9,290,41.1,82,52,46
20150306,2.9,2.3,270,37.8,122,52,48
20150307,4.2,2.3,270,45.5,120,69,51
20150308,7.7,1.8,50,42.5,133,60,77
20150309,2.2,5.4,290,43.4,56,70,72
20150310,-3.4,5.9,290,30.6,67,66,38
20150311,0.4,4.5,250,45.1,80,70,46
20150312,2.1,4,250,41,96,61,38
20150313,5.6,3,270,45.4,85,69,48
20150314,4.3,2.3,250,31.4,94,66,40
20150315,5.5,2.2,270,42,147,118,44
20150316,9.8,2,270,44.4,157,88,87
20150317,10.7,1.8,50,51.9,124,55,118
20150318,10.7,4,70,61.5,85,68,72
20150319,12.4,2.5,70,50.9,176,101,57
20150320,13.4,2.5,270,32.5,174,160,98
20150321,11.7,2.7,250,31,112,174,154
20150322,8.3,4.2,270,33.3,141,219,130
20150323,4.6,4.2,290,24.3,81,67,60
20150324,5.4,2.6,250,32.8,103,58,48
20150325,6.5,2.5,270,45.9,95,65,46
20150326,7.9,3.1,270,47.5,81,79,48
20150327,9.1,2.6,270,50.5,78,68,59
20150328,9.7,2.8,270,35,373,71,48
20150329,10.5,2.5,270,61.9,327,92,68
20150330,13.2,2.6,270,57.4,174,91,138
20150331,12.9,2.2,70,80.6,88,51,98
20150401,12.9,4.1,70,67.9,65,55,25
20150402,14.8,5,70,70.5,57,40,25
20150403,10.6,2.8,270,83.4,63,51,35
20150404,13.5,4.3,70,48,90,74,16
20150405,10.5,2.5,70,75.1,82,58,16
20150406,10.3,2.7,290,55.8,42,71,58
20150407,8.4,2.6,50,59.5,62,51,43
20150408,8.3,2.9,70,52.5,83,53,30
20150409,9.6,2.3,50,43,91,54,52
20150410,11.6,2.8,270,40.5,117,64,57
20150411,13.5,2.5,270,39.3,137,72,68
20150412,14.9,2.9,70,30.6,68,69,50
20150413,12,5.9,70,53.9,65,65,28
20150414,6.9,2.7,50,89.9,95,75,20
20150415,11.1,2.9,250,72,156,84,43
20150416,9.9,3.6,250,69.5,154,87,76
20150417,10.5,3.7,230,45.4,97,94,72
20150418,15.2,1.9,70,31.9,132,73,61
20150419,14.5,3.7,70,74.8,84,73,32
20150420,12.2,3.2,50,75.3,92,95,14
20150421,14,2.9,270,46,92,84,46
20150422,14.2,3,270,47,71,79,71
20150423,14.5,3.5,230,41.1,92,81,64
20150424,15.7,3.2,270,38.3,100,106,70
20150425,15.9,2.7,270,31.3,116,91,65
20150426,17.3,3.3,50,37.6,85,97,48
20150427,18.5,2.8,250,39.3,90,81,60
20150428,20.3,2.1,70,38.6,70,58,47
20150429,17,2.9,70,77,74,53,46
20150430,21.2,2.2,70,56.6,128,62,31
20150501,21,2.5,270,58.8,89,41,44
20150502,20.7,2.1,250,64.4,53,46,38
20150503,18.3,2.1,50,90.4,76,53,26
20150504,16.1,4.2,270,45.9,54,80,54
20150505,14.2,3.4,250,37.9,87,84,42
20150506,15.4,2.4,230,36.3,127,79,48
20150507,16.5,2.6,50,35.6,82,74,45
20150508,16.7,2.5,250,64.3,91,75,55
20150509,17.6,3,270,55,32,56,43
